objectid,parentid,filename,title,piece_identifier,types,score_order,part_order,part_types,historical_background,physical_notes,key,tempo,premiere_date,creator,date,date is approximate,description,arrangement,subject,location,latitude,longitude,source,box,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
,bukvich0006,flagday_scores.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/flagday_scores.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/flagday_scores_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/flagday_scores_th.jpg
,bukvich0006,flagday_parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/flagday_parts.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/flagday_parts_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/flagday_parts_th.jpg
bukvich0007,,marchprelude_sketches.pdf,March Prelude to the Star Spangled Banner,marchprelude,scores;sketches;parts,concert handwritten score;transposed typeset score;,piccolo;flute;oboe;bassoon;clarinet;bass clarinet;alto saxophone;tenor saxophone;baritone saxophone;horn;trumpet;trombone;euphonium;tuba;timpani;percussion;,typeset parts;,"This was written for Grangeville Highschool, they wanted a prelude to the Star Spangled Banner. Drawing from a tradition of using Souza themes as a prelude for a performance, Bukvich composed a march that would lead the performers into the Star Spangled Banner. The content of the march is all derived from the Star Spangled Banner.",,,,,"Bukvich, Daniel",2012,yes,Concert Band,Concert Band,,"Moscow, ID",46.72583715,-117.0077854,"Professor Daniel Bukvich Composition Archive, University of Idaho Special Collections & Archives",15,Text,,application/pdf,Professor Daniel Bukvich Composition Collection,Daniel Bukvich Library,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,compound,https://www.lib.uidaho.edu/digital/objects/bukvich/marchprelude_sketches.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/marchprelude_sketches_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/marchprelude_sketches_th.jpg
,bukvich0007,marchprelude_scores.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/marchprelude_scores.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/marchprelude_scores_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/marchprelude_scores_th.jpg
,bukvich0007,marchprelude_parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/marchprelude_parts.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/marchprelude_parts_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/marchprelude_parts_th.jpg
bukvich0008,,hanukshep_sketches.pdf,Hanukkah Shepherd's Song,hanukshep,parts;scores;sketches,concert handwritten score;,violin;viola;violoncello;double bass;timpani;percussion;,handwritten parts;typeset parts;,All of Hannukah pieces composed by Bukvich are in a set to be performed at some point. This piece was composed for the Holiday Concert to fill a void of Hannukah music. ,,,,,"Bukvich, Daniel",,,String orchestra,String Orchestra,,"Moscow, ID",46.72583715,-117.0077854,"Professor Daniel Bukvich Composition Archive, University of Idaho Special Collections & Archives",22,Text,,application/pdf,Professor Daniel Bukvich Composition Collection,Daniel Bukvich Library,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,compound,https://www.lib.uidaho.edu/digital/objects/bukvich/hanukshep_sketches.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/hanukshep_sketches_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/hanukshep_sketches_th.jpg
,bukvich0008,hanukshep_parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/hanukshep_parts.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/hanukshep_parts_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/hanukshep_parts_th.jpg
,bukvich0008,hanukshep_scores.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/hanukshep_scores.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/hanukshep_scores_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/hanukshep_scores_th.jpg
bukvich0009,,threenativesongs_sketches.pdf,Three Native Songs,threenativesongs,aux;typeset parts;sketches,handwritten score;typeset score;,violin;viola;violoncello;double bass;percussion;,handwritten parts;typeset parts;,"Commissioned by Helena, Montana for Grade School Orchestra. No melodies or inspiration from the musical history of indigenous peoples of the Americas were used, rather common themes and imagery from indigenous peoples of the Northwest United states inspired the piece.",,,,,"Bukvich, Daniel",,,Concert band,Concert Band,,"Moscow, ID",46.72583715,-117.0077854,"Professor Daniel Bukvich Composition Archive, University of Idaho Special Collections & Archives",23,Text,,application/pdf,Professor Daniel Bukvich Composition Collection,Daniel Bukvich Library,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,compound,https://www.lib.uidaho.edu/digital/objects/bukvich/threenativesongs_sketches.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/threenativesongs_sketches_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/threenativesongs_sketches_th.jpg
,bukvich0009,threenativesongs_scores.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/threenativesongs_scores.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/threenativesongs_scores_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/threenativesongs_scores_th.jpg
