objectid,parentid,filename,title,description,creator,date,date is approximate,subject,location,location-address,latitude,longitude,source,identifier,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,object_thumb,object_location,reference_url
"bukvich0020","","movviol_sketches.pdf","Moving Violation","Jazz combo","Bukvich, Daniel","2021","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/movviol_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/movviol_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0020.html"
"bukvich0021","","inmemdresden_aux.pdf","In Memoriam Dresden","Wind ensemble","Bukvich, Daniel","","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/inmemdresden_aux_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/inmemdresden_aux.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0021.html"
"bukvich0022","","ballroomportraits_sketches.pdf","Ballroom Portraits","Wind ensemble","Bukvich, Daniel","","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/ballroomportraits_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/ballroomportraits_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0022.html"
"bukvich0023","","kandinsky_sketches.pdf","Meditations on Writings by Vasily Kandinsky","Wind ensemble","Bukvich, Daniel","1996","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/kandinsky_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/kandinsky_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0023.html"
"bukvich0024","","symphmovement_sketches.pdf","Symphonic Movement","Wind ensemble","Bukvich, Daniel","","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/symphmovement_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/symphmovement_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0024.html"
"bukvich0025","","dedication_sketches.pdf","Dedication","Choir","Bukvich, Daniel","","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/dedication_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/dedication_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0025.html"
"bukvich0026","","flourish_sketches.pdf","Flourish","Wind ensemble","Bukvich, Daniel","2022","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/flourish_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/flourish_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0026.html"
"bukvich0027","","threebrazdance_aux.pdf","Three Brazillian Dances","Flute and jazz orchestra","Bukvich, Daniel","2021","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/threebrazdance_aux_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/threebrazdance_aux.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0027.html"
"bukvich0028","","warhorse_parts.pdf","Warhorse Mysticanza","Saxophone duo and piano","Bukvich, Daniel","2019","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/warhorse_parts_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/warhorse_parts.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0028.html"

